holding_ticker,primary_security_name,all_observed_security_names_sample,first_report_dt,last_report_dt,holding_record_count,unique_portfolio_count,source_files
AAPL,APPLE INC,APPLE INC,2010-06-30,2025-11-30,7261,148,stock between 2010_2014_new___.csv | stock between 2015_2019_new___.csv | stock between 2020_2026_new___.csv
MSFT,MICROSOFT CORP,MICROSOFT CORP,2002-09-30,2025-11-30,7099,220,stock berfore 2010_new___.csv | stock between 2010_2014_new___.csv | stock between 2015_2019_new___.csv | stock between 2020_2026_new___.csv
JPM,JPMORGAN CHASE & CO,JPMORGAN CHASE & CO | J P Morgan & Co Inc,2002-12-31,2025-10-31,3839,161,stock berfore 2010_new___.csv | stock between 2010_2014_new___.csv | stock between 2015_2019_new___.csv | stock between 2020_2026_new___.csv
GOOG,ALPHABET INC,GOOGLE INC | ALPHABET INC,2005-10-31,2025-11-30,3375,119,stock berfore 2010_new___.csv | stock between 2010_2014_new___.csv | stock between 2015_2019_new___.csv | stock between 2020_2026_new___.csv
AMZN,AMAZON COM INC,AMAZON COM INC,2008-09-30,2025-11-30,3233,93,stock berfore 2010_new___.csv | stock between 2010_2014_new___.csv | stock between 2015_2019_new___.csv | stock between 2020_2026_new___.csv
XOM,EXXON MOBIL CORP,EXXON MOBIL CORP,2002-10-31,2025-09-30,2718,164,stock berfore 2010_new___.csv | stock between 2010_2014_new___.csv | stock between 2015_2019_new___.csv | stock between 2020_2026_new___.csv
JNJ,JOHNSON & JOHNSON,JOHNSON & JOHNSON,2002-08-31,2025-10-31,2551,145,stock berfore 2010_new___.csv | stock between 2010_2014_new___.csv | stock between 2015_2019_new___.csv | stock between 2020_2026_new___.csv
GOOGL,ALPHABET INC,ALPHABET INC,2015-10-31,2025-11-30,2040,74,stock between 2015_2019_new___.csv | stock between 2020_2026_new___.csv
PFE,PFIZER INC,PFIZER INC,2002-09-30,2025-10-31,1653,138,stock berfore 2010_new___.csv | stock between 2010_2014_new___.csv | stock between 2015_2019_new___.csv | stock between 2020_2026_new___.csv
WFC,WELLS FARGO & CO NEW,WELLS FARGO & CO NEW,2002-09-30,2025-09-30,1595,100,stock berfore 2010_new___.csv | stock between 2010_2014_new___.csv | stock between 2015_2019_new___.csv | stock between 2020_2026_new___.csv
CVX,CHEVRON CORP NEW,CHEVRON CORP NEW,2002-09-30,2025-09-30,1502,119,stock berfore 2010_new___.csv | stock between 2010_2014_new___.csv | stock between 2015_2019_new___.csv | stock between 2020_2026_new___.csv
FB,FACEBOOK INC,FACEBOOK INC | META PLATFORMS INC,2013-06-30,2022-05-31,1328,66,stock between 2010_2014_new___.csv | stock between 2015_2019_new___.csv | stock between 2020_2026_new___.csv
BAC,BANK OF AMERICA CORP,BANK OF AMERICA CORP,2002-08-31,2025-10-31,1276,120,stock berfore 2010_new___.csv | stock between 2010_2014_new___.csv | stock between 2015_2019_new___.csv | stock between 2020_2026_new___.csv
CSCO,CISCO SYSTEMS INC,CISCO SYSTEMS INC,2002-11-30,2025-10-31,1216,103,stock berfore 2010_new___.csv | stock between 2010_2014_new___.csv | stock between 2015_2019_new___.csv | stock between 2020_2026_new___.csv
CMCSA,COMCAST CORP NEW,COMCAST CORP NEW,2004-12-31,2024-11-30,1075,61,stock berfore 2010_new___.csv | stock between 2010_2014_new___.csv | stock between 2015_2019_new___.csv | stock between 2020_2026_new___.csv
UNH,UNITEDHEALTH GROUP INC,UNITEDHEALTH GROUP INC,2002-10-31,2025-10-31,1037,90,stock berfore 2010_new___.csv | stock between 2010_2014_new___.csv | stock between 2015_2019_new___.csv | stock between 2020_2026_new___.csv
NVDA,NVIDIA CORP,NVIDIA CORP,2016-12-31,2025-11-30,1025,66,stock between 2015_2019_new___.csv | stock between 2020_2026_new___.csv
GE,GENERAL ELECTRIC CO,GENERAL ELECTRIC CO,2002-09-30,2025-07-31,1019,131,stock berfore 2010_new___.csv | stock between 2010_2014_new___.csv | stock between 2015_2019_new___.csv | stock between 2020_2026_new___.csv
V,VISA INC,VISA INC,2009-01-31,2025-09-30,972,56,stock berfore 2010_new___.csv | stock between 2010_2014_new___.csv | stock between 2015_2019_new___.csv | stock between 2020_2026_new___.csv
PG,PROCTER & GAMBLE CO,PROCTER & GAMBLE CO,2002-10-31,2025-09-30,953,103,stock berfore 2010_new___.csv | stock between 2010_2014_new___.csv | stock between 2015_2019_new___.csv | stock between 2020_2026_new___.csv
BRK,BERKSHIRE HATHAWAY INC DEL,BERKSHIRE HATHAWAY INC DEL,2002-11-30,2025-11-30,951,50,stock berfore 2010_new___.csv | stock between 2010_2014_new___.csv | stock between 2015_2019_new___.csv | stock between 2020_2026_new___.csv
IBM,INTERNATIONAL BUSINESS MACHS COR,INTERNATIONAL BUSINESS MACHS COR,2002-10-31,2025-10-31,923,101,stock berfore 2010_new___.csv | stock between 2010_2014_new___.csv | stock between 2015_2019_new___.csv | stock between 2020_2026_new___.csv
PM,PHILIP MORRIS INTERNATIONAL INC,PHILIP MORRIS INTERNATIONAL IN | PHILIP MORRIS INTERNATIONAL INC,2008-03-31,2025-11-30,908,63,stock berfore 2010_new___.csv | stock between 2010_2014_new___.csv | stock between 2015_2019_new___.csv | stock between 2020_2026_new___.csv
MRK,MERCK & CO INC NEW,MERCK & CO INC | MERCK & CO INC NEW,2002-09-30,2025-10-31,799,87,stock berfore 2010_new___.csv | stock between 2010_2014_new___.csv | stock between 2015_2019_new___.csv | stock between 2020_2026_new___.csv
C,CITIGROUP INC,CITIGROUP INC | CITIGROUP CAPITAL VIII,2002-09-30,2022-11-30,721,89,stock berfore 2010_new___.csv | stock between 2010_2014_new___.csv | stock between 2015_2019_new___.csv | stock between 2020_2026_new___.csv
VZ,VERIZON COMMUNICATIONS INC,VERIZON COMMUNICATIONS INC,2002-10-31,2025-09-30,715,89,stock berfore 2010_new___.csv | stock between 2010_2014_new___.csv | stock between 2015_2019_new___.csv | stock between 2020_2026_new___.csv
MA,MASTERCARD INC,MASTERCARD INC,2008-03-31,2025-10-31,662,49,stock berfore 2010_new___.csv | stock between 2010_2014_new___.csv | stock between 2015_2019_new___.csv | stock between 2020_2026_new___.csv
T,A T & T INC,A T & T INC,2006-06-30,2023-03-31,659,80,stock berfore 2010_new___.csv | stock between 2010_2014_new___.csv | stock between 2015_2019_new___.csv | stock between 2020_2026_new___.csv
COP,CONOCOPHILLIPS,CONOCOPHILLIPS,2003-06-30,2025-10-31,639,76,stock berfore 2010_new___.csv | stock between 2010_2014_new___.csv | stock between 2015_2019_new___.csv | stock between 2020_2026_new___.csv
PEP,PEPSICO INC,PEPSICO INC,2002-11-30,2025-06-30,638,62,stock berfore 2010_new___.csv | stock between 2010_2014_new___.csv | stock between 2015_2019_new___.csv | stock between 2020_2026_new___.csv
META,META PLATFORMS INC,META PLATFORMS INC,2022-06-30,2025-11-30,583,47,stock between 2020_2026_new___.csv
QCOM,QUALCOMM INC,QUALCOMM INC,2004-03-31,2025-10-31,524,61,stock berfore 2010_new___.csv | stock between 2010_2014_new___.csv | stock between 2015_2019_new___.csv | stock between 2020_2026_new___.csv
GS,GOLDMAN SACHS GROUP INC,GOLDMAN SACHS GROUP INC,2003-12-31,2025-09-30,502,61,stock berfore 2010_new___.csv | stock between 2010_2014_new___.csv | stock between 2015_2019_new___.csv | stock between 2020_2026_new___.csv
HD,HOME DEPOT INC,HOME DEPOT INC,2002-09-30,2025-09-30,495,61,stock berfore 2010_new___.csv | stock between 2010_2014_new___.csv | stock between 2015_2019_new___.csv | stock between 2020_2026_new___.csv
AVGO,BROADCOM INC,AVAGO TECHNOLOGIES LTD | BROADCOM LTD | BROADCOM INC,2012-12-31,2025-11-30,476,51,stock between 2010_2014_new___.csv | stock between 2015_2019_new___.csv | stock between 2020_2026_new___.csv
CVS,C V S HEALTH CORP,C V S CORP | C V S CAREMARK CORP | C V S HEALTH CORP,2002-12-31,2024-03-31,456,56,stock berfore 2010_new___.csv | stock between 2010_2014_new___.csv | stock between 2015_2019_new___.csv | stock between 2020_2026_new___.csv
INTC,INTEL CORP,INTEL CORP,2002-09-30,2023-06-30,442,91,stock berfore 2010_new___.csv | stock between 2010_2014_new___.csv | stock between 2015_2019_new___.csv | stock between 2020_2026_new___.csv
MDT,MEDTRONIC PLC,MEDTRONIC INC | MEDTRONIC PLC,2002-09-30,2025-10-31,438,54,stock berfore 2010_new___.csv | stock between 2010_2014_new___.csv | stock between 2015_2019_new___.csv | stock between 2020_2026_new___.csv
WMT,WAL MART STORES INC,WAL MART STORES INC | WALMART INC,2002-10-31,2025-09-30,411,91,stock berfore 2010_new___.csv | stock between 2010_2014_new___.csv | stock between 2015_2019_new___.csv | stock between 2020_2026_new___.csv
UTX,UNITED TECHNOLOGIES CORP,UNITED TECHNOLOGIES CORP,2002-09-30,2020-02-29,367,37,stock berfore 2010_new___.csv | stock between 2010_2014_new___.csv | stock between 2015_2019_new___.csv | stock between 2020_2026_new___.csv
