yahoo_ticker,sector,industry,quote_type,sector_source
A,Healthcare,Diagnostics & Research,EQUITY,yfinance_info
AA,Basic Materials,Aluminum,EQUITY,yfinance_info
AAL,Industrials,Airlines,EQUITY,yfinance_info
AAP,Consumer Cyclical,Auto Parts,EQUITY,yfinance_info
AAPL,Technology,Consumer Electronics,EQUITY,yfinance_info
AAXN,,,NONE,no_sector_in_info
AB,Financial Services,Asset Management,EQUITY,yfinance_info
ABB,,,NONE,no_sector_in_info
ABBV,Healthcare,Drug Manufacturers - General,EQUITY,yfinance_info
ABC,,,NONE,no_sector_in_info
ABEV,Consumer Defensive,Beverages - Brewers,EQUITY,yfinance_info
ABG,Consumer Cyclical,Auto & Truck Dealerships,EQUITY,yfinance_info
ABH,,,MUTUALFUND,no_sector_in_info
ABI,,,ETF,no_sector_in_info
ABK,,,MUTUALFUND,no_sector_in_info
ABMD,,,NONE,no_sector_in_info
ABNB,Consumer Cyclical,Travel Services,EQUITY,yfinance_info
ABT,Healthcare,Medical Devices,EQUITY,yfinance_info
ABX,Financial Services,Insurance - Life,EQUITY,yfinance_info
AC,,,,no_sector_in_info
ACE,,,MUTUALFUND,no_sector_in_info
ACGL,Financial Services,Insurance - Diversified,EQUITY,yfinance_info
ACI,Consumer Defensive,Grocery Stores,EQUITY,yfinance_info
ACL,,,MUTUALFUND,no_sector_in_info
ACN,Technology,Information Technology Services,EQUITY,yfinance_info
ADBE,Technology,Software - Application,EQUITY,yfinance_info
ADEN,,,MUTUALFUND,no_sector_in_info
ADI,Technology,Semiconductors,EQUITY,yfinance_info
ADM,Consumer Defensive,Farm Products,EQUITY,yfinance_info
ADP,Technology,Software - Application,EQUITY,yfinance_info
ADS,,,NONE,no_sector_in_info
ADSK,Technology,Software - Application,EQUITY,yfinance_info
ADYEN,,,,no_sector_in_info
AEE,Utilities,Utilities - Regulated Electric,EQUITY,yfinance_info
AEH,,,ETF,no_sector_in_info
AEM,Basic Materials,Gold,EQUITY,yfinance_info
AEP,Utilities,Utilities - Regulated Electric,EQUITY,yfinance_info
AES,Utilities,Utilities - Diversified,EQUITY,yfinance_info
AET,,,MUTUALFUND,no_sector_in_info
AEV,,,ECNQUOTE,no_sector_in_info
AFG,Financial Services,Insurance - Property & Casualty,EQUITY,yfinance_info
AFL,Financial Services,Insurance - Life,EQUITY,yfinance_info
AGCO,Industrials,Farm & Heavy Construction Machinery,EQUITY,yfinance_info
AGN,,,NONE,no_sector_in_info
AGU,,,MUTUALFUND,no_sector_in_info
AGY,,,MUTUALFUND,no_sector_in_info
AHC,,,NONE,no_sector_in_info
AIG,Financial Services,Insurance - Diversified,EQUITY,yfinance_info
AIR,Industrials,Aerospace & Defense,EQUITY,yfinance_info
AIZ,Financial Services,Insurance - Property & Casualty,EQUITY,yfinance_info
AJG,Financial Services,Insurance Brokers,EQUITY,yfinance_info
AKAM,Technology,Software - Infrastructure,EQUITY,yfinance_info
ALB,Basic Materials,Specialty Chemicals,EQUITY,yfinance_info
ALEX,,,,no_sector_in_info
ALGN,Healthcare,Medical Instruments & Supplies,EQUITY,yfinance_info
ALK,Industrials,Airlines,EQUITY,yfinance_info
ALL,Financial Services,Insurance - Property & Casualty,EQUITY,yfinance_info
ALLY,Financial Services,Credit Services,EQUITY,yfinance_info
ALRM,Technology,Software - Application,EQUITY,yfinance_info
ALTR,,,NONE,no_sector_in_info
ALV,Consumer Cyclical,Auto Parts,EQUITY,yfinance_info
ALVG,,,,no_sector_in_info
ALXN,,,NONE,no_sector_in_info
AMAT,Technology,Semiconductor Equipment & Materials,EQUITY,yfinance_info
AMD,Technology,Semiconductors,EQUITY,yfinance_info
AME,Industrials,Specialty Industrial Machinery,EQUITY,yfinance_info
AMG,Financial Services,Asset Management,EQUITY,yfinance_info
