year,teacher_category,active_item_count,holding_record_count_proxy,unique_portfolio_count_proxy
2002,Bond / Credit / Money-related,41,72.76666666666667,33.161904761904765
2002,Equity Fund / Stock-fund-like,5,6.0,2.5
2003,Bond / Credit / Money-related,2566,4402.875566590273,2763.623242933537
2003,Equity Fund / Stock-fund-like,65,131.0030072229561,60.919190251351374
2004,Bond / Credit / Money-related,1282,2289.704138018844,1273.775623885918
2004,Equity Fund / Stock-fund-like,30,73.00300722295607,25.419190251351377
2005,Bond / Credit / Money-related,125,574.4708046855105,133.84229055258467
2005,Equity Fund / Stock-fund-like,20,79.16967388962274,10.25252358468471
2006,Bond / Credit / Money-related,141,703.2374713521772,145.35895721925132
2006,Equity Fund / Stock-fund-like,42,248.48029660024545,21.770731765392892
2007,Bond / Credit / Money-related,284,1195.6837601510977,235.34593427728103
2007,Equity Fund / Stock-fund-like,185,1254.8135359486164,126.70804379546807
2008,Bond / Credit / Money-related,456,1606.5393157066533,382.3903787217255
2008,Equity Fund / Stock-fund-like,374,1844.8706788057593,267.04519275761703
2009,Bond / Credit / Money-related,412,1547.5314725693984,366.6343563127619
2009,Equity Fund / Stock-fund-like,410,1976.0298452928669,289.2879929312996
2010,Bond / Credit / Money-related,1345,8178.103259116185,1429.2173899457955
2010,Equity Fund / Stock-fund-like,1039,8241.512772088294,720.128577346884
2011,Bond / Credit / Money-related,1392,8665.68841562634,1313.6561761595817
2011,Equity Fund / Stock-fund-like,841,7487.682777083299,471.83017574848236
2012,Bond / Credit / Money-related,1357,8805.018077631003,1228.9857549141605
2012,Equity Fund / Stock-fund-like,861,7642.08901806454,420.19467791298456
2013,Bond / Credit / Money-related,1331,8341.80892289685,1155.4061289845345
2013,Equity Fund / Stock-fund-like,767,5858.316704267226,279.46970843801506
2014,Bond / Credit / Money-related,1292,7999.21184497477,1059.1562372096428
2014,Equity Fund / Stock-fund-like,754,5960.572259822781,268.16216875547536
2015,Bond / Credit / Money-related,1288,7977.9416790296045,1022.9074998359054
2015,Equity Fund / Stock-fund-like,748,5809.388637889159,264.7033664466731
2016,Bond / Credit / Money-related,1306,7728.60358379151,1089.578531581937
2016,Equity Fund / Stock-fund-like,719,5557.471147046669,257.09640673971336
2017,Bond / Credit / Money-related,1278,7964.109932997859,1045.8269442803498
2017,Equity Fund / Stock-fund-like,738,5727.061623237145,280.8166448349515
2018,Bond / Credit / Money-related,1203,8001.567075855001,998.0817061851118
2018,Equity Fund / Stock-fund-like,677,5719.179083554605,239.39561308891973
2019,Bond / Credit / Money-related,1186,7884.637313950239,973.6602776136832
2019,Equity Fund / Stock-fund-like,650,5633.415683066205,225.95815887646552
2020,Bond / Credit / Money-related,1237,7843.210223883444,1056.3657559588673
2020,Equity Fund / Stock-fund-like,648,5566.988862337913,221.07604785023685
2021,Bond / Credit / Money-related,1089,6889.9073018055215,979.439132582244
2021,Equity Fund / Stock-fund-like,617,5472.121365945417,211.2348224090114
2022,Bond / Credit / Money-related,1141,7421.384538457758,1100.9403952085067
2022,Equity Fund / Stock-fund-like,677,5921.144737018788,268.2019205886096
2023,Bond / Credit / Money-related,908,6178.819894768115,843.7518420949535
2023,Equity Fund / Stock-fund-like,587,5320.32385928541,237.7312676304566
2024,Bond / Credit / Money-related,832,5749.954904203124,827.9023776704892
2024,Equity Fund / Stock-fund-like,552,5148.046783583334,234.31664614083513
2025,Bond / Credit / Money-related,696,4996.223835272055,653.9911611092725
2025,Equity Fund / Stock-fund-like,531,4769.314640726192,277.78093185512085
